"","X.1","X","remakes_title","remakes_year","originals_title","originals_year","yearsBetween","key","remakes_shortTitle","remakes_key","originals_shortTitle","originals_key"
"100",100,100,"The Burmese Harp (1985) dir. Kon Ichikawa",1985,"The Burmese Harp (1956) dir. Kon Ichikawa",1956,29,"The Burmese Harp (1985) dir. Kon Ichikawa (1985)","The Burmese Harp ","The Burmese Harp (1985)","The Burmese Harp ","The Burmese Harp (1956)"
"101",101,101,"Cabin Fever (2016) dir. Travis Zariwny",2016,"Cabin Fever (2002) dir. Eli Roth",2002,14,"Cabin Fever (2016) dir. Travis Zariwny (2016)","Cabin Fever ","Cabin Fever (2016)","Cabin Fever ","Cabin Fever (2002)"
"102",102,102,"The Cabinet of Dr. Caligari (2005) dir. David Lee Fisher",2005,"The Cabinet of Dr. Caligari (1920) dir. Robert Wiene",1920,85,"The Cabinet of Dr. Caligari (2005) dir. David Lee Fisher (2005)","The Cabinet of Dr. Caligari ","The Cabinet of Dr. Caligari (2005)","The Cabinet of Dr. Caligari ","The Cabinet of Dr. Caligari (1920)"
"103",103,103,"Cape Fear (1991) dir. Martin Scorsese",1991,"Cape Fear (1962) dir. J. Lee Thompson
Based on the novel The Executioners by John D. MacDonald",1962,29,"Cape Fear (1991) dir. Martin Scorsese (1991)","Cape Fear ","Cape Fear (1991)","Cape Fear ","Cape Fear (1962)"
"104",104,104,"The Captain (1971) dir. Kurt Hoffmann",1971,"The Captain's Table (1959) dir. Jack Lee
Based on a novel by Richard Gordon",1959,12,"The Captain (1971) dir. Kurt Hoffmann (1971)","The Captain ","The Captain (1971)","The Captain's Table ","The Captain's Table (1959)"
"105",105,105,"Carnival of Souls (1998) dir. Adam Grossman & Ian Kessner",1998,"Carnival of Souls (1962) dir. Herk Harvey",1962,36,"Carnival of Souls (1998) dir. Adam Grossman & Ian Kessner (1998)","Carnival of Souls ","Carnival of Souls (1998)","Carnival of Souls ","Carnival of Souls (1962)"
"106",106,106,"Carrie (2002) dir. David Carson",2002,"Carrie (1976) dir. Brian De Palma
Based on the novel by Stephen King",1976,26,"Carrie (2002) dir. David Carson (2002)","Carrie ","Carrie (2002)","Carrie ","Carrie (1976)"
"107",107,107,"Carrie (2013) dir. Kimberly Peirce",2013,"Carrie (1976) dir. Brian De Palma
Based on the novel by Stephen King",1976,37,"Carrie (2013) dir. Kimberly Peirce (2013)","Carrie ","Carrie (2013)","Carrie ","Carrie (1976)"
"108",108,108,"The Cat Creeps (1930) dir. Rupert Julian",1930,"The Cat and the Canary (1927) dir. Paul Leni",1927,3,"The Cat Creeps (1930) dir. Rupert Julian (1930)","The Cat Creeps ","The Cat Creeps (1930)","The Cat and the Canary ","The Cat and the Canary (1927)"
"109",109,109,"The Cat and the Canary (1939) dir. Elliott Nugent",1939,"The Cat and the Canary (1927) dir. Paul Leni",1927,12,"The Cat and the Canary (1939) dir. Elliott Nugent (1939)","The Cat and the Canary ","The Cat and the Canary (1939)","The Cat and the Canary ","The Cat and the Canary (1927)"
"110",110,110,"Cat People (1982) dir. Paul Schrader",1982,"Cat People (1942) dir. Jacques Tourneur",1942,40,"Cat People (1982) dir. Paul Schrader (1982)","Cat People ","Cat People (1982)","Cat People ","Cat People (1942)"
"111",111,111,"Catch That Kid (2004) dir. Bart Freundlich",2004,"Klatret��sen (2002) dir. Hans Fabian",2002,2,"Catch That Kid (2004) dir. Bart Freundlich (2004)","Catch That Kid ","Catch That Kid (2004)","Klatret��sen ","Klatret��sen (2002)"
"112",112,112,"Carousel (1956) dir. Henry KingLiliom (1934) dir. Fritz Lang",1956,"Liliom (1930) dir Frank Borzage",1930,26,"Carousel (1956) dir. Henry KingLiliom (1934) dir. Fritz Lang (1956)","Carousel ","Carousel (1956)","Liliom ","Liliom (1930)"
"113",113,113,"The Champ (1979) dir. Franco Zeffirelli",1979,"The Champ (1931) dir. King Vidor",1931,48,"The Champ (1979) dir. Franco Zeffirelli (1979)","The Champ ","The Champ (1979)","The Champ ","The Champ (1931)"
"114",114,114,"Cheaper by the Dozen (2003)",2003,"Cheaper by the Dozen (1950)",1950,53,"Cheaper by the Dozen (2003) (2003)","Cheaper by the Dozen ","Cheaper by the Dozen (2003)","Cheaper by the Dozen ","Cheaper by the Dozen (1950)"
"115",115,115,"Chickens Come Home (1931) dir. Hal Roach",1931,"Love 'em and Weep (1927) dir. Fred Guiol",1927,4,"Chickens Come Home (1931) dir. Hal Roach (1931)","Chickens Come Home ","Chickens Come Home (1931)","Love 'em and Weep ","Love 'em and Weep (1927)"
"116",116,116,"The Children's Hour (1961) dir. William Wyler",1961,"These Three (1936) dir. William Wyler
Based on the 1934 play The Children's Hour, by Lillian Hellman",1936,25,"The Children's Hour (1961) dir. William Wyler (1961)","The Children's Hour ","The Children's Hour (1961)","These Three ","These Three (1936)"
"117",117,117,"A Christmas Carol (1999) dir. David Jones",1999,"Scrooge (1935) dir. Henry Edwards",1935,64,"A Christmas Carol (1999) dir. David Jones (1999)","A Christmas Carol ","A Christmas Carol (1999)","Scrooge ","Scrooge (1935)"
"118",118,118,"A Christmas Carol (1984) dir. Clive Donner",1984,"Scrooge (1935) dir. Henry Edwards",1935,49,"A Christmas Carol (1984) dir. Clive Donner (1984)","A Christmas Carol ","A Christmas Carol (1984)","Scrooge ","Scrooge (1935)"
"119",119,119,"Scrooge (1951) dir. Brian Desmond Hurst",1951,"Scrooge (1935) dir. Henry Edwards",1935,16,"Scrooge (1951) dir. Brian Desmond Hurst (1951)","Scrooge ","Scrooge (1951)","Scrooge ","Scrooge (1935)"
"120",120,120,"A Christmas Carol (1938) dir. Edwin L. Marin",1938,"Scrooge (1935) dir. Henry Edwards",1935,3,"A Christmas Carol (1938) dir. Edwin L. Marin (1938)","A Christmas Carol ","A Christmas Carol (1938)","Scrooge ","Scrooge (1935)"
"121",121,121,"A Christmas Carol (2009) dir. Robert Zemeckis",2009,"Scrooge (1935) dir. Henry Edwards",1935,74,"A Christmas Carol (2009) dir. Robert Zemeckis (2009)","A Christmas Carol ","A Christmas Carol (2009)","Scrooge ","Scrooge (1935)"
"122",122,122,"Chloe (2009) dir. Atom Egoyan",2009,"Nathalie... (2004) dir. Anne Fontaine",2004,5,"Chloe (2009) dir. Atom Egoyan (2009)","Chloe ","Chloe (2009)","Nathalie... ","Nathalie... (2004)"
"123",123,123,"Cinderella (2015)",2015,"Cinderella (1950)",1950,65,"Cinderella (2015) (2015)","Cinderella ","Cinderella (2015)","Cinderella ","Cinderella (1950)"
"124",124,124,"City of Angels (1998) dir. Brad Silberling",1998,"Der Himmel �_ber Berlin or Wings of Desire (1987) dir. Wim Wenders",1987,11,"City of Angels (1998) dir. Brad Silberling (1998)","City of Angels ","City of Angels (1998)","Der Himmel �_ber Berlin or Wings of Desire ","Der Himmel �_ber Berlin or Wings of Desire (1987)"
"125",125,125,"Clash of the Titans (2010) dir. Louis Leterrier",2010,"Clash of the Titans (1981) dir. Desmond Davis",1981,29,"Clash of the Titans (2010) dir. Louis Leterrier (2010)","Clash of the Titans ","Clash of the Titans (2010)","Clash of the Titans ","Clash of the Titans (1981)"
"126",126,126,"Classmates (2007) dir. K. Vijaya Bhaskar",2007,"Classmates (2006) dir. Lal Jose",2006,1,"Classmates (2007) dir. K. Vijaya Bhaskar (2007)","Classmates ","Classmates (2007)","Classmates ","Classmates (2006)"
"127",127,127,"The Boy Cried Murder (1966) dir. George P. Breakston",1966,"The Window (1949) dir. Ted Tetzlaff
Based on The Boy Cried Murder by Cornell Woolrich",1949,17,"The Boy Cried Murder (1966) dir. George P. Breakston (1966)","The Boy Cried Murder ","The Boy Cried Murder (1966)","The Window ","The Window (1949)"
"128",128,128,"Cloak & Dagger (1984) dir. Richard Franklin",1984,"The Window (1949) dir. Ted Tetzlaff
Based on The Boy Cried Murder by Cornell Woolrich",1949,35,"Cloak & Dagger (1984) dir. Richard Franklin (1984)","Cloak & Dagger ","Cloak & Dagger (1984)","The Window ","The Window (1949)"
"129",129,129,"Colorado Territory (1949) dir. Raoul Walsh",1949,"High Sierra (1941) dir. Raoul Walsh",1941,8,"Colorado Territory (1949) dir. Raoul Walsh (1949)","Colorado Territory ","Colorado Territory (1949)","High Sierra ","High Sierra (1941)"
"130",130,130,"The Computer Wore Tennis Shoes (1995) dir. Peyton Reed",1995,"The Computer Wore Tennis Shoes (1969) dir. Robert Butler",1969,26,"The Computer Wore Tennis Shoes (1995) dir. Peyton Reed (1995)","The Computer Wore Tennis Shoes ","The Computer Wore Tennis Shoes (1995)","The Computer Wore Tennis Shoes ","The Computer Wore Tennis Shoes (1969)"
"131",131,131,"Confession (1937) dir. Joe May",1937,"Mazurka (1935) dir. Willi Forst",1935,2,"Confession (1937) dir. Joe May (1937)","Confession ","Confession (1937)","Mazurka ","Mazurka (1935)"
"132",132,132,"The Counter Jumper (1922) dir. Larry Semon",1922,"The Grocery Clerk (1919) dir. Larry Semon",1919,3,"The Counter Jumper (1922) dir. Larry Semon (1922)","The Counter Jumper ","The Counter Jumper (1922)","The Grocery Clerk ","The Grocery Clerk (1919)"
"133",133,133,"Cousins (1989) dir. Joel Schumacher",1989,"Cousin, cousine (1975) dir. Jean-Charles Tacchella",1975,14,"Cousins (1989) dir. Joel Schumacher (1989)","Cousins ","Cousins (1989)","Cousin, cousine ","Cousin, cousine (1975)"
"134",134,134,"Crackers (1984) dir. Louis Malle",1984,"Big Deal on Madonna Street (1958) dir. Mario Monicelli",1958,26,"Crackers (1984) dir. Louis Malle (1984)","Crackers ","Crackers (1984)","Big Deal on Madonna Street ","Big Deal on Madonna Street (1958)"
"135",135,135,"The Crazies (2010) dir. Breck Eisner",2010,"The Crazies (1973) dir. George A. Romero",1973,37,"The Crazies (2010) dir. Breck Eisner (2010)","The Crazies ","The Crazies (2010)","The Crazies ","The Crazies (1973)"
"136",136,136,"Crime School (1938) dir. Lewis Seiler",1938,"The Mayor of Hell (1933) dir. Archie Mayo & Michael Curtiz",1933,5,"Crime School (1938) dir. Lewis Seiler (1938)","Crime School ","Crime School (1938)","The Mayor of Hell ","The Mayor of Hell (1933)"
"137",137,137,"Criminal (2004) dir. Gregory Jacobs",2004,"Nueve reinas (2000) dir. Fabi��n Bielinsky",2000,4,"Criminal (2004) dir. Gregory Jacobs (2004)","Criminal ","Criminal (2004)","Nueve reinas ","Nueve reinas (2000)"
"138",138,138,"D.O.A. (1988) dir. Annabel Jankel & Rocky Morton",1988,"D.O.A. (1950) dir. Rudolph Mat̩",1950,38,"D.O.A. (1988) dir. Annabel Jankel & Rocky Morton (1988)","D.O.A. ","D.O.A. (1988)","D.O.A. ","D.O.A. (1950)"
"139",139,139,"Dante's Inferno (1935) dir. Harry Lachman",1935,"Dante's Inferno (1924) dir. Henry Otto",1924,11,"Dante's Inferno (1935) dir. Harry Lachman (1935)","Dante's Inferno ","Dante's Inferno (1935)","Dante's Inferno ","Dante's Inferno (1924)"
"140",140,140,"The Dark Mirror (1984) dir. Richard Lang",1984,"The Dark Mirror (1946) dir. Robert Siodmak",1946,38,"The Dark Mirror (1984) dir. Richard Lang (1984)","The Dark Mirror ","The Dark Mirror (1984)","The Dark Mirror ","The Dark Mirror (1946)"
"141",141,141,"Stolen Hours (1963) dir. Daniel Petrie",1963,"Dark Victory (1939) dir. Edmund Goulding
Based on the play by George Emerson Brewer Jr. and Bertram Bloch",1939,24,"Stolen Hours (1963) dir. Daniel Petrie (1963)","Stolen Hours ","Stolen Hours (1963)","Dark Victory ","Dark Victory (1939)"
"142",142,142,"Dark Victory (1976) dir. Robert Butler",1976,"Dark Victory (1939) dir. Edmund Goulding
Based on the play by George Emerson Brewer Jr. and Bertram Bloch",1939,37,"Dark Victory (1976) dir. Robert Butler (1976)","Dark Victory ","Dark Victory (1976)","Dark Victory ","Dark Victory (1939)"
"143",143,143,"Dark Water (2005) dir. Walter Salles",2005,"Dark Water (2002) dir. Hideo Nakata",2002,3,"Dark Water (2005) dir. Walter Salles (2005)","Dark Water ","Dark Water (2005)","Dark Water ","Dark Water (2002)"
"144",144,144,"Dawn of the Dead (2004) dir. Zack Snyder",2004,"Dawn of the Dead (1978) dir. George A. Romero",1978,26,"Dawn of the Dead (2004) dir. Zack Snyder (2004)","Dawn of the Dead ","Dawn of the Dead (2004)","Dawn of the Dead ","Dawn of the Dead (1978)"
"145",145,145,"The Dawn Patrol (1938) dir. Edmund Goulding",1938,"The Dawn Patrol (1930) dir. Howard Hawks",1930,8,"The Dawn Patrol (1938) dir. Edmund Goulding (1938)","The Dawn Patrol ","The Dawn Patrol (1938)","The Dawn Patrol ","The Dawn Patrol (1930)"
"146",146,146,"Day of the Dead (2008) dir. Steve Miner",2008,"Day of the Dead (1985) dir. George A. Romero",1985,23,"Day of the Dead (2008) dir. Steve Miner (2008)","Day of the Dead ","Day of the Dead (2008)","Day of the Dead ","Day of the Dead (1985)"
"147",147,147,"The Day the Earth Stood Still (2008) dir. Scott Derrickson",2008,"The Day the Earth Stood Still (1951) dir. Robert Wise",1951,57,"The Day the Earth Stood Still (2008) dir. Scott Derrickson (2008)","The Day the Earth Stood Still ","The Day the Earth Stood Still (2008)","The Day the Earth Stood Still ","The Day the Earth Stood Still (1951)"
"148",148,148,"Dead of Winter (1987) dir. Arthur Penn",1987,"My Name Is Julia Ross (1945) dir. Joseph H. Lewis",1945,42,"Dead of Winter (1987) dir. Arthur Penn (1987)","Dead of Winter ","Dead of Winter (1987)","My Name Is Julia Ross ","My Name Is Julia Ross (1945)"
"149",149,149,"Death at a Funeral (2010) dir. Neil LaBute",2010,"Death at a Funeral (2007) dir. Frank Oz",2007,3,"Death at a Funeral (2010) dir. Neil LaBute (2010)","Death at a Funeral ","Death at a Funeral (2010)","Death at a Funeral ","Death at a Funeral (2007)"
"150",150,150,"Death Race (2008) dir. Paul W.S. Anderson",2008,"Death Race 2000 (1975) dir. Paul Bartel",1975,33,"Death Race (2008) dir. Paul W.S. Anderson (2008)","Death Race ","Death Race (2008)","Death Race 2000 ","Death Race 2000 (1975)"
"151",151,151,"Death Wish (2017) dir. Eli Roth",2017,"Death Wish (1974) dir. Michael Winner",1974,43,"Death Wish (2017) dir. Eli Roth (2017)","Death Wish ","Death Wish (2017)","Death Wish ","Death Wish (1974)"
"152",152,152,"The Debt (2011) dir. John Madden",2011,"The Debt (2007) dir. Assaf Bernstein",2007,4,"The Debt (2011) dir. John Madden (2011)","The Debt ","The Debt (2011)","The Debt ","The Debt (2007)"
"153",153,153,"The Defiant Ones (1986) dir. David Lowell Rich",1986,"The Defiant Ones (1958) dir. Stanley Kramer",1958,28,"The Defiant Ones (1986) dir. David Lowell Rich (1986)","The Defiant Ones ","The Defiant Ones (1986)","The Defiant Ones ","The Defiant Ones (1958)"
"154",154,154,"The Departed (2006) dir. Martin Scorsese",2006,"Infernal Affairs (2002) dir. Wai Keung Lau & Siu Fai Mak",2002,4,"The Departed (2006) dir. Martin Scorsese (2006)","The Departed ","The Departed (2006)","Infernal Affairs ","Infernal Affairs (2002)"
"155",155,155,"Desire (1936) dir. Frank Borzage",1936,"Happy Days in Aranjuez (1933) dir. Johannes Meyer",1933,3,"Desire (1936) dir. Frank Borzage (1936)","Desire ","Desire (1936)","Happy Days in Aranjuez ","Happy Days in Aranjuez (1933)"
"156",156,156,"Desperate Hours (1990) dir. Michael Cimino",1990,"The Desperate Hours (1955) dir. William Wyler
Based on the novel and play by Joseph Hayes",1955,35,"Desperate Hours (1990) dir. Michael Cimino (1990)","Desperate Hours ","Desperate Hours (1990)","The Desperate Hours ","The Desperate Hours (1955)"
"157",157,157,"Destry Rides Again (1939) dir. George Marshall",1939,"Destry Rides Again (1932) dir. Benjamin Stoloff",1932,7,"Destry Rides Again (1939) dir. George Marshall (1939)","Destry Rides Again ","Destry Rides Again (1939)","Destry Rides Again ","Destry Rides Again (1932)"
"158",158,158,"Destry (1954) dir. George Marshall",1954,"Destry Rides Again (1932) dir. Benjamin Stoloff",1932,22,"Destry (1954) dir. George Marshall (1954)","Destry ","Destry (1954)","Destry Rides Again ","Destry Rides Again (1932)"
"159",159,159,"Le Deuxi̬me Souffle (2007) dir. Alain Corneau",2007,"Le Deuxi̬me Souffle (1966) dir. Jean-Pierre Melville",1966,41,"Le Deuxi̬me Souffle (2007) dir. Alain Corneau (2007)","Le Deuxi̬me Souffle ","Le Deuxi̬me Souffle (2007)","Le Deuxi̬me Souffle ","Le Deuxi̬me Souffle (1966)"
"160",160,160,"Diabolique (1996) dir. Jeremiah S. Chechik",1996,"Les Diaboliques (1955) dir. Henri-Georges Clouzot
From the novel by Pierre Boileau and Thomas Narcejac",1955,41,"Diabolique (1996) dir. Jeremiah S. Chechik (1996)","Diabolique ","Diabolique (1996)","Les Diaboliques ","Les Diaboliques (1955)"
"161",161,161,"Diamond Horseshoe (1945) dir. George Seaton",1945,"The Barker (1928) dir. George Fitzmaurice",1928,17,"Diamond Horseshoe (1945) dir. George Seaton (1945)","Diamond Horseshoe ","Diamond Horseshoe (1945)","The Barker ","The Barker (1928)"
"162",162,162,"Die Rothschilds (1940) dir. Erich Waschneck",1940,"The House of Rothschild (1934) dir. Alfred L. Werker",1934,6,"Die Rothschilds (1940) dir. Erich Waschneck (1940)","Die Rothschilds ","Die Rothschilds (1940)","The House of Rothschild ","The House of Rothschild (1934)"
"163",163,163,"Dirty Rotten Scoundrels (1988) dir. Frank Oz",1988,"Bedtime Story (1964) dir. Ralph Levy",1964,24,"Dirty Rotten Scoundrels (1988) dir. Frank Oz (1988)","Dirty Rotten Scoundrels ","Dirty Rotten Scoundrels (1988)","Bedtime Story ","Bedtime Story (1964)"
"164",164,164,"Dr. Jekyll and Mr. Hyde (1941) dir. Victor Fleming",1941,"Dr. Jekyll and Mr. Hyde (1931) dir. Rouben Mamoulian",1931,10,"Dr. Jekyll and Mr. Hyde (1941) dir. Victor Fleming (1941)","Dr. Jekyll and Mr. Hyde ","Dr. Jekyll and Mr. Hyde (1941)","Dr. Jekyll and Mr. Hyde ","Dr. Jekyll and Mr. Hyde (1931)"
"165",165,165,"Dr. M (1990) dir. Claude Chabrol",1990,"Dr. Mabuse the Gambler (1922) dir. Fritz Lang",1922,68,"Dr. M (1990) dir. Claude Chabrol (1990)","Dr. M ","Dr. M (1990)","Dr. Mabuse the Gambler ","Dr. Mabuse the Gambler (1922)"
"166",166,166,"Yugandhar (1979) dir. K. S. R. Das",1979,"Don (1978) dir. Chandra Barot",1978,1,"Yugandhar (1979) dir. K. S. R. Das (1979)","Yugandhar ","Yugandhar (1979)","Don ","Don (1978)"
"167",167,167,"Billa (1980) dir. R. Krishnamurthy",1980,"Don (1978) dir. Chandra Barot",1978,2,"Billa (1980) dir. R. Krishnamurthy (1980)","Billa ","Billa (1980)","Don ","Don (1978)"
"168",168,168,"Sobharaj (1986) dir. Sasikumar",1986,"Don (1978) dir. Chandra Barot",1978,8,"Sobharaj (1986) dir. Sasikumar (1986)","Sobharaj ","Sobharaj (1986)","Don ","Don (1978)"
"169",169,169,"Billa (2007) dir. VishnuvardhanDon (2006) dir. Farhan Akhtar",2007,"Don (1978) dir. Chandra Barot",1978,29,"Billa (2007) dir. VishnuvardhanDon (2006) dir. Farhan Akhtar (2007)","Billa ","Billa (2007)","Don ","Don (1978)"
"170",170,170,"Billa (2009) dir. Meher Ramesh",2009,"Don (1978) dir. Chandra Barot",1978,31,"Billa (2009) dir. Meher Ramesh (2009)","Billa ","Billa (2009)","Don ","Don (1978)"
"171",171,171,"A Dog of Flanders (1999) dir. Kevin Brodie",1999,"A Dog of Flanders (1959) dir. James B. Clark",1959,40,"A Dog of Flanders (1999) dir. Kevin Brodie (1999)","A Dog of Flanders ","A Dog of Flanders (1999)","A Dog of Flanders ","A Dog of Flanders (1959)"
"172",172,172,"Dorian Gray (2009) dir. Oliver Parker",2009,"The Picture of Dorian Gray (1945) dir. Albert Lewin",1945,64,"Dorian Gray (2009) dir. Oliver Parker (2009)","Dorian Gray ","Dorian Gray (2009)","The Picture of Dorian Gray ","The Picture of Dorian Gray (1945)"
"173",173,173,"Down (2001) dir. Dick Maas",2001,"De Lift (1983) dir. Dick Maas",1983,18,"Down (2001) dir. Dick Maas (2001)","Down ","Down (2001)","De Lift ","De Lift (1983)"
"174",174,174,"Down and Out in Beverly Hills (1986) dir. Paul Mazursky",1986,"Boudu sauv̩ des eaux (1932) dir. Jean Renoir",1932,54,"Down and Out in Beverly Hills (1986) dir. Paul Mazursky (1986)","Down and Out in Beverly Hills ","Down and Out in Beverly Hills (1986)","Boudu sauv̩ des eaux ","Boudu sauv̩ des eaux (1932)"
