Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Cousins,1989,PG-13,10 Feb 1989,109 min,"Comedy, Romance",Joel Schumacher,N/A,6.3,N/A,Cousins (1989)
Crackers,1984,PG,17 Feb 1984,91 min,"Adventure, Comedy, Crime",Louis Malle,1 nomination.,5.1,N/A,Crackers (1984)
The Crazies,2010,R,26 Feb 2010,101 min,"Horror, Thriller",Breck Eisner,11 nominations.,6.5,"$38,240,768",The Crazies (2010)
Crime School,1938,NOT RATED,28 May 1938,85 min,"Crime, Drama","Lewis Seiler, William Clemens",N/A,6.8,N/A,Crime School (1938)
Criminal,2004,R,24 Sep 2004,87 min,"Comedy, Crime, Drama",Gregory Jacobs,N/A,6.4,"$740,056",Criminal (2004)
D.O.A.,1988,R,18 Mar 1988,96 min,"Mystery, Thriller","Annabel Jankel, Rocky Morton",N/A,6.1,N/A,D.O.A. (1988)
Dante's Inferno,1935,APPROVED,23 Aug 1935,89 min,Drama,Harry Lachman,1 nomination.,6.7,N/A,Dante's Inferno (1935)
Dark Victory,1976,N/A,05 Feb 1976,150 min,"Drama, Romance",Robert Butler,N/A,6.8,N/A,Dark Victory (1976)
Dark Water,2005,PG-13,08 Jul 2005,105 min,"Drama, Horror, Thriller",Walter Salles,5 nominations.,5.6,"$25,416,400",Dark Water (2005)
Dawn of the Dead,2004,R,19 Mar 2004,101 min,"Action, Horror, Thriller",Zack Snyder,1 win & 17 nominations.,7.3,"$58,885,635",Dawn of the Dead (2004)
The Dawn Patrol,1938,NOT RATED,24 Dec 1938,103 min,"War, Drama",Edmund Goulding,N/A,7.6,N/A,The Dawn Patrol (1938)
Day of the Dead,2008,R,08 Apr 2008,86 min,"Action, Horror, Thriller",Steve Miner,1 nomination.,4.5,N/A,Day of the Dead (2008)
The Day the Earth Stood Still,2008,PG-13,12 Dec 2008,104 min,"Drama, Sci-Fi, Thriller",Scott Derrickson,3 wins & 5 nominations.,5.5,"$79,136,963",The Day the Earth Stood Still (2008)
