Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Tenpô rokkasen - Jigoku no hanamichi,1960,N/A,03 May 1960,103 min,N/A,Masahiro Makino,N/A,N/A,N/A,Tenpô rokkasen - Jigoku no hanamichi (1960)
The Jungle Book,1967,G,18 Oct 1967,78 min,"Animation, Adventure, Family",Wolfgang Reitherman,Nominated for 1 Oscar. Another 4 wins & 3 nominations.,7.6,N/A,The Jungle Book (1967)
Les visiteurs,1993,R,12 Jul 1996,107 min,"Comedy, Fantasy",Jean-Marie Poiré,1 win & 8 nominations.,7.0,N/A,Les visiteurs (1993)
The Karate Kid,1984,PG,22 Jun 1984,126 min,"Action, Drama, Family",John G. Avildsen,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,7.2,N/A,The Karate Kid (1984)
The Milky Way,1936,PASSED,07 Feb 1936,89 min,Comedy,"Leo McCarey, Ray McCarey, Norman Z. McLeod",N/A,6.7,N/A,The Milky Way (1936)
King Kong,1933,PASSED,07 Apr 1933,100 min,"Adventure, Horror, Sci-Fi","Merian C. Cooper, Ernest B. Schoedsack",3 wins & 7 nominations.,7.9,N/A,King Kong (1933)
King Solomon's Mines,1937,NOT RATED,26 Jul 1937,77 min,"Action, Adventure, Drama",Robert Stevenson,1 nomination.,6.5,N/A,King Solomon's Mines (1937)
A Connecticut Yankee in King Arthur's Court,1921,N/A,14 Mar 1921,80 min,"Adventure, Comedy, Fantasy",Emmett J. Flynn,N/A,7.5,N/A,A Connecticut Yankee in King Arthur's Court (1921)
A Kiss Before Dying,1956,APPROVED,12 Jun 1956,94 min,"Crime, Film-Noir, Mystery",Gerd Oswald,N/A,6.8,N/A,A Kiss Before Dying (1956)
Death Game,1977,R,13 Apr 1977,91 min,Thriller,Peter S. Traynor,N/A,5.2,N/A,Death Game (1977)
Death Game,1977,R,13 Apr 1977,91 min,Thriller,Peter S. Traynor,N/A,5.2,N/A,Death Game (1977)
The Ladykillers,1955,NOT RATED,24 Feb 1956,91 min,"Comedy, Crime",Alexander Mackendrick,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,7.8,N/A,The Ladykillers (1955)
The Lady Vanishes,1938,NOT RATED,01 Nov 1938,96 min,"Mystery, Thriller",Alfred Hitchcock,1 win & 1 nomination.,7.9,N/A,The Lady Vanishes (1938)
Il Mare,2000,N/A,09 Sep 2000,105 min,"Drama, Fantasy, Romance",Hyun-seung Lee,N/A,7.7,N/A,Il Mare (2000)
Last Holiday,1950,NOT RATED,13 Nov 1950,88 min,"Comedy, Drama, Romance",Henry Cass,N/A,7.6,N/A,Last Holiday (1950)
The Virgin Spring,1960,NOT RATED,14 Nov 1960,89 min,Drama,Ingmar Bergman,Won 1 Oscar. Another 4 wins & 2 nominations.,8.1,N/A,The Virgin Spring (1960)
The Last of Mrs. Cheyney,1929,PASSED,06 Jul 1929,94 min,"Comedy, Drama",Sidney Franklin,N/A,6.0,N/A,The Last of Mrs. Cheyney (1929)
Angora Love,1929,N/A,14 Dec 1929,21 min,"Comedy, Short",Lewis R. Foster,N/A,7.0,N/A,Angora Love (1929)
Let the Right One In,2008,R,12 Dec 2008,115 min,"Drama, Horror, Romance",Tomas Alfredson,Nominated for 1 BAFTA Film Award. Another 72 wins & 51 nominations.,7.9,"$2,100,000",Let the Right One In (2008)
Libeled Lady,1936,NOT RATED,09 Oct 1936,98 min,"Comedy, Romance",Jack Conway,N/A,7.9,N/A,Libeled Lady (1936)
Lifeboat,1944,APPROVED,28 Jan 1944,97 min,"Drama, War",Alfred Hitchcock,Nominated for 3 Oscars. Another 2 wins.,7.8,N/A,Lifeboat (1944)
The Little Foxes,1941,APPROVED,29 Aug 1941,116 min,"Drama, Romance",William Wyler,Nominated for 9 Oscars. Another 3 wins.,8.2,N/A,The Little Foxes (1941)
Little Fugitive,1953,NOT RATED,16 Dec 1953,80 min,"Drama, Family","Ray Ashley, Morris Engel, Ruth Orkin",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,7.6,"$21,548.00",Little Fugitive (1953)
Little Miss Marker,1934,PASSED,01 Jun 1934,80 min,"Comedy, Drama, Family",Alexander Hall,1 win.,7.1,N/A,Little Miss Marker (1934)
The Little Shop of Horrors,1960,UNRATED,05 Aug 1960,72 min,"Comedy, Horror","Roger Corman, Charles B. Griffith, Mel Welles",N/A,6.3,N/A,The Little Shop of Horrors (1960)
The Lodger,1927,NOT RATED,14 Feb 1927,68 min,"Crime, Drama, Mystery",Alfred Hitchcock,N/A,7.3,N/A,The Lodger (1927)
Loft,2008,N/A,22 Oct 2008,118 min,"Crime, Drama, Mystery",Erik Van Looy,N/A,7.4,N/A,Loft (2008)
Lol,2008–,N/A,15 Nov 2008,N/A,Drama,N/A,N/A,7.2,NA,Lol (2008–)
The Longest Yard,1974,R,30 Aug 1974,121 min,"Comedy, Crime, Drama",Robert Aldrich,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,7.1,N/A,The Longest Yard (1974)
His Royal Slyness,1920,N/A,08 Feb 1920,27 min,"Comedy, Short",Hal Roach,N/A,6.3,N/A,His Royal Slyness (1920)
"The Long, Hot Summer",1958,NOT RATED,18 May 1958,115 min,Drama,Martin Ritt,2 wins & 4 nominations.,7.5,N/A,"The Long, Hot Summer (1958)"
"The Long, Hot Summer",1958,NOT RATED,18 May 1958,115 min,Drama,Martin Ritt,2 wins & 4 nominations.,7.5,N/A,"The Long, Hot Summer (1958)"
Lost Horizon,1937,UNRATED,01 Sep 1937,97 min,"Adventure, Drama, Fantasy",Frank Capra,Won 2 Oscars. Another 1 win & 5 nominations.,7.8,N/A,Lost Horizon (1937)
Lost Patrol,1929,N/A,01 Feb 1929,N/A,"Action, Drama, War",Walter Summers,N/A,6.2,N/A,Lost Patrol (1929)
Lost Patrol,1929,N/A,01 Feb 1929,N/A,"Action, Drama, War",Walter Summers,N/A,6.2,N/A,Lost Patrol (1929)
Swamp Water,1941,APPROVED,23 May 1942,88 min,"Crime, Drama, Mystery","Jean Renoir, Irving Pichel",N/A,7.1,N/A,Swamp Water (1941)
M,1931,NOT RATED,31 Aug 1931,99 min,"Crime, Drama, Mystery",Fritz Lang,2 wins.,8.4,"$17,599",M (1931)
M,1931,NOT RATED,31 Aug 1931,99 min,"Crime, Drama, Mystery",Fritz Lang,2 wins.,8.4,"$17,599",M (1931)
Pampered Youth,1925,N/A,01 Feb 1925,70 min,Drama,David Smith,N/A,6.6,N/A,Pampered Youth (1925)
Seven Samurai,1954,NOT RATED,19 Nov 1956,207 min,"Adventure, Drama",Akira Kurosawa,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,8.7,N/A,Seven Samurai (1954)
I Am Sam,2001,PG-13,25 Jan 2002,132 min,Drama,Jessie Nelson,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,7.6,"$40,270,895",I Am Sam (2001)
The Private War of Major Benson,1955,N/A,02 Dec 1955,105 min,"Comedy, Family, Romance",Jerry Hopper,N/A,6.7,N/A,The Private War of Major Benson (1955)
The Maltese Falcon,1931,N/A,13 Jun 1931,80 min,"Crime, Drama, Film-Noir",Roy Del Ruth,N/A,7.4,N/A,The Maltese Falcon (1931)
The Walking Dead,1936,APPROVED,14 Mar 1936,66 min,"Crime, Horror, Sci-Fi",Michael Curtiz,N/A,6.7,N/A,The Walking Dead (1936)
The Man Without a Country,1917,N/A,09 Sep 1917,60 min,Drama,Ernest C. Warde,N/A,7.0,N/A,The Man Without a Country (1917)
The Man Who Knew Too Much,1934,APPROVED,15 Apr 1935,75 min,"Crime, Mystery, Thriller",Alfred Hitchcock,1 win & 1 nomination.,6.9,N/A,The Man Who Knew Too Much (1934)
The Man Who Loved Women,1977,NOT RATED,27 Apr 1977,120 min,"Comedy, Drama, Romance",François Truffaut,1 win & 4 nominations.,7.5,N/A,The Man Who Loved Women (1977)
The Manchurian Candidate,1962,PG-13,24 Oct 1962,126 min,"Drama, Thriller",John Frankenheimer,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,8.0,N/A,The Manchurian Candidate (1962)
Life Is a Dog,1933,N/A,N/A,84 min,Comedy,Martin Fric,N/A,6.9,N/A,Life Is a Dog (1933)
Marilyn Hotchkiss' Ballroom Dancing and Charm School,1990,N/A,01 Oct 1990,34 min,"Musical, Short, Family",Randall Miller,1 win & 2 nominations.,7.1,N/A,Marilyn Hotchkiss' Ballroom Dancing and Charm School (1990)
London After Midnight,1927,PASSED,03 Dec 1927,69 min,Horror,Tod Browning,N/A,6.9,N/A,London After Midnight (1927)
The Three Godfathers,1916,N/A,19 Jun 1916,N/A,Western,Edward LeSaint,N/A,6.9,N/A,The Three Godfathers (1916)
Martyrs,2008,R,03 Sep 2008,99 min,Horror,Pascal Laugier,7 wins & 8 nominations.,7.1,N/A,Martyrs (2008)
The Mysterious Dr. Fu Manchu,1929,N/A,10 Aug 1929,80 min,Thriller,Rowland V. Lee,N/A,7.0,N/A,The Mysterious Dr. Fu Manchu (1929)
Midnight,1939,NOT RATED,24 Mar 1939,94 min,"Comedy, Romance",Mitchell Leisen,1 win.,7.9,N/A,Midnight (1939)
The Mechanic,1972,PG,14 Dec 1972,100 min,"Action, Crime, Thriller",Michael Winner,N/A,7.0,N/A,The Mechanic (1972)
Death Takes a Holiday,1934,UNRATED,30 Mar 1934,79 min,"Drama, Fantasy, Romance",Mitchell Leisen,1 win & 1 nomination.,7.2,N/A,Death Takes a Holiday (1934)
Meet Me in St. Louis,1944,APPROVED,01 Jan 1945,113 min,"Comedy, Drama, Family",Vincente Minnelli,Nominated for 4 Oscars. Another 6 wins & 1 nomination.,7.7,N/A,Meet Me in St. Louis (1944)
La vie continue,1981,PG,23 Sep 1981,93 min,"Drama, Romance",Moshé Mizrahi,N/A,7.3,N/A,La vie continue (1981)
It's a Wonderful Life,1946,PG,07 Jan 1947,130 min,"Drama, Family, Fantasy",Frank Capra,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,8.6,N/A,It's a Wonderful Life (1946)
Bicycle Thieves,1948,NOT RATED,13 Dec 1949,89 min,Drama,Vittorio De Sica,Nominated for 1 Oscar. Another 18 wins.,8.3,N/A,Bicycle Thieves (1948)
Mighty Joe Young,1949,APPROVED,29 Aug 1949,84 min,"Adventure, Drama, Fantasy",Ernest B. Schoedsack,Won 1 Oscar. Another 3 nominations.,7.0,N/A,Mighty Joe Young (1949)
Miracle on 34th Street,1947,NOT RATED,02 Oct 1947,96 min,"Comedy, Drama, Family",George Seaton,Won 3 Oscars. Another 5 wins & 1 nomination.,7.9,N/A,Miracle on 34th Street (1947)
The Miracle Man,1919,NOT RATED,26 Aug 1919,80 min,Drama,George Loane Tucker,N/A,6.0,N/A,The Miracle Man (1919)
Into the Mirror,2003,NOT RATED,14 Aug 2003,113 min,"Action, Crime, Fantasy",Sung-ho Kim,1 win & 1 nomination.,6.5,N/A,Into the Mirror (2003)
Miss Granny,2014,N/A,22 Jan 2014,124 min,"Comedy, Fantasy, Music",Dong-hyuk Hwang,7 wins & 8 nominations.,7.4,N/A,Miss Granny (2014)
Cat-Women of the Moon,1953,APPROVED,03 Sep 1953,64 min,"Adventure, Sci-Fi",Arthur Hilton,N/A,3.7,N/A,Cat-Women of the Moon (1953)
Cat-Women of the Moon,1953,APPROVED,03 Sep 1953,64 min,"Adventure, Sci-Fi",Arthur Hilton,N/A,3.7,N/A,Cat-Women of the Moon (1953)
Red Dust,1932,PASSED,22 Oct 1932,83 min,"Drama, Romance",Victor Fleming,1 win.,7.4,N/A,Red Dust (1932)
Mr. Blandings Builds His Dream House,1948,APPROVED,04 Jun 1948,94 min,"Comedy, Romance",H.C. Potter,1 nomination.,7.3,N/A,Mr. Blandings Builds His Dream House (1948)
The Monkey's Paw,1933,N/A,13 Jan 1933,58 min,Horror,"Wesley Ruggles, Ernest B. Schoedsack",N/A,7.2,N/A,The Monkey's Paw (1933)
Go and Get It,1920,N/A,18 Jul 1920,70 min,"Comedy, Drama, Mystery","Marshall Neilan, Henry Roberts Symonds",N/A,5.1,N/A,Go and Get It (1920)
The Magnificent Fraud,1939,N/A,06 Nov 1939,78 min,Drama,Robert Florey,N/A,6.0,N/A,The Magnificent Fraud (1939)
Mother's Day,1980,UNRATED,19 Sep 1980,91 min,"Comedy, Horror, Thriller",Charles Kaufman,1 nomination.,5.4,N/A,Mother's Day (1980)
My Favorite Wife,1940,APPROVED,17 May 1940,88 min,"Comedy, Romance",Garson Kanin,N/A,7.4,N/A,My Favorite Wife (1940)
Mr. Deeds Goes to Town,1936,APPROVED,12 Apr 1936,115 min,"Comedy, Drama, Romance",Frank Capra,Won 1 Oscar. Another 4 wins & 7 nominations.,8.0,N/A,Mr. Deeds Goes to Town (1936)
The Mummy,1932,TV-PG,22 Dec 1932,73 min,"Fantasy, Horror",Karl Freund,1 win & 2 nominations.,7.2,N/A,The Mummy (1932)
Munna Bhai M.B.B.S.,2003,NOT RATED,19 Dec 2003,156 min,"Comedy, Drama, Romance",Rajkumar Hirani,17 wins & 29 nominations.,8.2,N/A,Munna Bhai M.B.B.S. (2003)
My Bloody Valentine,1981,R,11 Feb 1981,90 min,"Horror, Mystery, Thriller",George Mihalka,N/A,6.2,N/A,My Bloody Valentine (1981)
My Bloody Valentine,1981,R,11 Feb 1981,90 min,"Horror, Mystery, Thriller",George Mihalka,N/A,6.2,N/A,My Bloody Valentine (1981)
My Man Godfrey,1936,NOT RATED,06 Sep 1936,94 min,"Comedy, Drama, Romance",Gregory La Cava,Nominated for 6 Oscars. Another 1 win.,8.1,N/A,My Man Godfrey (1936)
Pygmalion,1938,NOT RATED,03 Mar 1939,89 min,"Comedy, Drama, Romance","Anthony Asquith, Leslie Howard",Won 1 Oscar. Another 2 wins & 5 nominations.,7.9,N/A,Pygmalion (1938)
Autograph,2004,N/A,14 Feb 2004,N/A,Romance,Cheran,9 wins & 1 nomination.,7.6,N/A,Autograph (2004)
The Eye,2002,R,09 May 2002,99 min,"Drama, Horror, Thriller","Danny Pang, Oxide Chun Pang",8 wins & 7 nominations.,6.7,"$339,607",The Eye (2002)
The Narrow Margin,1952,NOT RATED,16 Aug 1952,71 min,"Film-Noir, Thriller",Richard Fleischer,N/A,7.7,N/A,The Narrow Margin (1952)
Anything for Her,2008,N/A,03 Dec 2008,96 min,"Crime, Drama, Thriller",Fred Cavayé,1 nomination.,7.2,N/A,Anything for Her (2008)
Night and the City,1950,NOT RATED,27 Nov 1950,96 min,"Crime, Film-Noir, Mystery",Jules Dassin,N/A,8.0,N/A,Night and the City (1950)
Night Must Fall,1937,PASSED,30 Apr 1937,116 min,"Drama, Mystery, Thriller",Richard Thorpe,Nominated for 2 Oscars. Another 4 wins.,7.3,N/A,Night Must Fall (1937)
A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,2 wins & 3 nominations.,7.5,N/A,A Nightmare on Elm Street (1984)
Night of the Demons,1988,R,14 Oct 1988,90 min,"Comedy, Fantasy, Horror",Kevin Tenney,N/A,6.3,N/A,Night of the Demons (1988)
Night of the Living Dead,1968,NOT RATED,04 Oct 1968,96 min,Horror,George A. Romero,1 win.,7.9,N/A,Night of the Living Dead (1968)
Neuf mois,1994,N/A,02 Feb 1994,110 min,Comedy,Patrick Braoudé,2 nominations.,5.8,N/A,Neuf mois (1994)
Mostly Martha,2001,PG,27 Sep 2002,109 min,"Comedy, Romance, Drama",Sandra Nettelbeck,14 wins & 7 nominations.,7.3,"$4,041,973",Mostly Martha (2001)
Nosferatu,1922,NOT RATED,03 Jun 1929,81 min,"Fantasy, Horror",F.W. Murnau,1 win & 2 nominations.,8.0,N/A,Nosferatu (1922)
The Big Clock,1948,APPROVED,09 Apr 1948,95 min,"Crime, Drama, Film-Noir",John Farrow,2 nominations.,7.7,N/A,The Big Clock (1948)
Not of This Earth,1957,APPROVED,10 Feb 1957,67 min,"Horror, Sci-Fi",Roger Corman,N/A,6.4,N/A,Not of This Earth (1957)
Notorious,1946,APPROVED,06 Sep 1946,101 min,"Drama, Film-Noir, Romance",Alfred Hitchcock,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,8.0,N/A,Notorious (1946)
Naadodigal,2009,N/A,26 Jun 2009,N/A,"Action, Comedy, Drama",Samuthirakani,2 wins & 2 nominations.,7.6,N/A,Naadodigal (2009)
The Nutty Professor,1963,APPROVED,11 Jul 1963,107 min,"Comedy, Romance, Sci-Fi",Jerry Lewis,1 win.,6.7,N/A,The Nutty Professor (1963)
Ocean's 11,1960,APPROVED,10 Aug 1960,127 min,"Comedy, Crime, Music",Lewis Milestone,2 nominations.,6.6,N/A,Ocean's 11 (1960)
It Started with Eve,1941,APPROVED,26 Sep 1941,90 min,"Comedy, Musical, Romance",Henry Koster,N/A,7.8,N/A,It Started with Eve (1941)
The Old Dark House,1932,TV-G,20 Oct 1932,72 min,"Comedy, Horror",James Whale,N/A,7.3,N/A,The Old Dark House (1932)
Oldboy,2003,R,21 Nov 2003,120 min,"Action, Drama, Mystery",Chan-wook Park,38 wins & 18 nominations.,8.4,"$637,778",Oldboy (2003)
The Omen,1976,R,25 Jun 1976,111 min,Horror,Richard Donner,Won 1 Oscar. Another 3 wins & 8 nominations.,7.6,N/A,The Omen (1976)
On the Beach,1959,APPROVED,17 Dec 1959,134 min,"Drama, Romance, Sci-Fi",Stanley Kramer,Nominated for 2 Oscars. Another 4 wins & 7 nominations.,7.3,N/A,On the Beach (1959)
One Million B.C.,1940,APPROVED,05 Apr 1940,80 min,"Adventure, Fantasy, Romance","Hal Roach Jr., Hal Roach",Nominated for 2 Oscars. Another 1 nomination.,5.8,N/A,One Million B.C. (1940)
The Women,1939,NOT RATED,01 Sep 1939,133 min,"Comedy, Drama",George Cukor,1 win.,8.0,N/A,The Women (1939)
Black Orpheus,1959,PG,21 Dec 1959,100 min,"Drama, Fantasy, Music",Marcel Camus,Won 1 Oscar. Another 3 wins & 2 nominations.,7.5,N/A,Black Orpheus (1959)
The Two Orphans,1915,N/A,05 Sep 1915,N/A,Drama,Herbert Brenon,N/A,N/A,N/A,The Two Orphans (1915)
Oscar,1967,G,11 Oct 1967,85 min,Comedy,Édouard Molinaro,N/A,7.6,N/A,Oscar (1967)
The Out of Towners,1970,G,28 May 1970,101 min,Comedy,Arthur Hiller,Nominated for 2 Golden Globes. Another 1 win & 1 nomination.,7.1,N/A,The Out of Towners (1970)
Outside the Law,1920,PASSED,06 Jan 1921,75 min,"Crime, Romance, Thriller",Tod Browning,N/A,6.7,N/A,Outside the Law (1920)
A Yank at Oxford,1938,PASSED,18 Feb 1938,102 min,"Drama, Romance, Sport",Jack Conway,N/A,6.7,N/A,A Yank at Oxford (1938)
Gold Diggers of 1933,1933,UNRATED,27 May 1933,97 min,"Comedy, Drama, Musical",Mervyn LeRoy,Nominated for 1 Oscar. Another 1 win.,8.1,N/A,Gold Diggers of 1933 (1933)
The Parent Trap,1961,APPROVED,21 Jun 1961,129 min,"Comedy, Family, Romance",David Swift,Nominated for 2 Oscars. Another 2 wins & 6 nominations.,7.1,N/A,The Parent Trap (1961)
Holiday for Henrietta,1952,N/A,24 Jan 1955,118 min,Comedy,Julien Duvivier,N/A,7.4,N/A,Holiday for Henrietta (1952)
Shanghai Express,1932,PASSED,12 Feb 1932,82 min,"Adventure, Drama, Romance",Josef von Sternberg,Won 1 Oscar. Another 2 nominations.,7.4,N/A,Shanghai Express (1932)
Dial M for Murder,1954,APPROVED,29 May 1954,105 min,"Crime, Film-Noir, Thriller",Alfred Hitchcock,Nominated for 1 BAFTA Film Award. Another 3 wins & 2 nominations.,8.2,N/A,Dial M for Murder (1954)
The Phantom Carriage,1921,NOT RATED,04 Jun 1922,100 min,"Drama, Fantasy, Horror",Victor Sjöström,N/A,8.1,N/A,The Phantom Carriage (1921)
The Phantom of the Opera,1925,UNRATED,15 Nov 1925,93 min,Horror,"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",1 win & 1 nomination.,7.7,N/A,The Phantom of the Opera (1925)
Picnic,1955,APPROVED,16 Feb 1956,115 min,"Drama, Romance",Joshua Logan,Won 2 Oscars. Another 3 wins & 11 nominations.,7.2,N/A,Picnic (1955)
The Scarlet Pimpernel,1934,NOT RATED,07 Feb 1935,97 min,"Adventure, Drama",Harold Young,N/A,7.6,N/A,The Scarlet Pimpernel (1934)
Piranha,1978,R,03 Aug 1978,94 min,"Comedy, Horror, Sci-Fi",Joe Dante,1 win & 1 nomination.,5.9,N/A,Piranha (1978)
The Plainsman,1936,APPROVED,16 Nov 1936,113 min,"Biography, History, Romance",Cecil B. DeMille,N/A,6.9,N/A,The Plainsman (1936)
Planet of the Apes,1968,G,03 Apr 1968,112 min,"Adventure, Sci-Fi",Franklin J. Schaffner,Nominated for 2 Oscars. Another 4 wins & 1 nomination.,8.0,N/A,Planet of the Apes (1968)
The Plank,1967,N/A,N/A,45 min,Comedy,Eric Sykes,N/A,6.9,N/A,The Plank (1967)
Lady for a Day,1933,TV-G,13 Sep 1933,96 min,Comedy,Frank Capra,N/A,7.5,N/A,Lady for a Day (1933)
Point Break,1991,R,12 Jul 1991,122 min,"Action, Crime, Thriller",Kathryn Bigelow,1 win & 2 nominations.,7.2,N/A,Point Break (1991)
La Femme Nikita,1990,R,01 Apr 1991,117 min,"Action, Thriller",Luc Besson,Nominated for 1 Golden Globe. Another 5 wins & 14 nominations.,7.4,N/A,La Femme Nikita (1990)
Poltergeist,1982,PG,04 Jun 1982,114 min,"Horror, Thriller",Tobe Hooper,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,7.4,N/A,Poltergeist (1982)
Pokiri,2006,N/A,27 Apr 2006,164 min,"Action, Comedy",Puri Jagannadh,2 wins.,7.9,N/A,Pokiri (2006)
The Poseidon Adventure,1972,PG,13 Dec 1972,117 min,"Action, Adventure, Drama","Ronald Neame, Irwin Allen(co-director)",Won 1 Oscar. Another 4 wins & 13 nominations.,7.1,N/A,The Poseidon Adventure (1972)
The Bishop's Wife,1947,NOT RATED,16 Feb 1948,109 min,"Comedy, Drama, Fantasy",Henry Koster,Won 1 Oscar. Another 4 nominations.,7.6,N/A,The Bishop's Wife (1947)
Premonition,2004,R,02 Oct 2004,95 min,Horror,Norio Tsuruta,N/A,6.3,N/A,Premonition (2004)
The Prisoner of Zenda,1937,APPROVED,03 Sep 1937,101 min,"Adventure, Drama, Romance","John Cromwell, W.S. Van Dyke",Nominated for 2 Oscars. Another 1 win & 1 nomination.,7.7,N/A,The Prisoner of Zenda (1937)
Prom Night,1980,R,18 Jul 1980,92 min,"Horror, Thriller",Paul Lynch,2 nominations.,5.4,N/A,Prom Night (1980)
Psycho,1960,R,08 Sep 1960,109 min,"Horror, Mystery, Thriller",Alfred Hitchcock,Nominated for 4 Oscars. Another 5 wins & 9 nominations.,8.5,N/A,Psycho (1960)
Pusher,1996,NOT RATED,30 Aug 1996,110 min,"Crime, Thriller",Nicolas Winding Refn,1 win.,7.4,N/A,Pusher (1996)
[Rec],2007,R,23 Nov 2007,78 min,"Horror, Mystery, Thriller","Jaume Balagueró, Paco Plaza",16 wins & 12 nominations.,7.5,N/A,[Rec] (2007)
The Racket,1928,PASSED,01 Nov 1928,84 min,"Crime, Drama, Film-Noir",Lewis Milestone,N/A,6.9,N/A,The Racket (1928)
The Rainmaker,1956,APPROVED,13 Dec 1956,121 min,"Romance, Western",Joseph Anthony,Nominated for 2 Oscars. Another 2 wins & 5 nominations.,7.0,N/A,The Rainmaker (1956)
The Rains Came,1939,APPROVED,15 Sep 1939,103 min,"Adventure, Drama, Romance",Clarence Brown,Won 1 Oscar. Another 5 nominations.,7.0,N/A,The Rains Came (1939)
Sholay,1975,NOT RATED,15 Aug 1975,162 min,"Action, Adventure, Comedy",Ramesh Sippy,2 wins.,8.2,N/A,Sholay (1975)
Ransom!,1956,APPROVED,27 Aug 1956,109 min,"Crime, Drama, Film-Noir",Alex Segal,N/A,7.0,N/A,Ransom! (1956)
Rear Window,1954,PG,01 Sep 1954,112 min,"Mystery, Thriller",Alfred Hitchcock,Nominated for 4 Oscars. Another 6 wins & 8 nominations.,8.5,N/A,Rear Window (1954)
Red Dawn,1984,PG-13,10 Aug 1984,114 min,"Action, Drama",John Milius,1 nomination.,6.4,N/A,Red Dawn (1984)
Manhunter,1986,R,15 Aug 1986,120 min,"Crime, Horror, Mystery",Michael Mann,1 win & 1 nomination.,7.2,N/A,Manhunter (1986)
The Range Feud,1931,PASSED,01 Dec 1931,64 min,"Mystery, Western",D. Ross Lederman,N/A,5.8,N/A,The Range Feud (1931)
Reefer Madness,1936,PG,N/A,66 min,"Drama, Thriller",Louis J. Gasnier,N/A,3.8,N/A,Reefer Madness (1936)
Force majeure,1989,N/A,05 Apr 1989,86 min,Drama,Pierre Jolivet,3 nominations.,6.3,N/A,Force majeure (1989)
Old Acquaintance,1943,APPROVED,27 Nov 1943,110 min,"Drama, Romance",Vincent Sherman,N/A,7.6,N/A,Old Acquaintance (1943)
The Unknown Cavalier,1926,N/A,14 Nov 1926,N/A,Western,Albert S. Rogell,N/A,N/A,N/A,The Unknown Cavalier (1926)
Broadway Bill,1934,APPROVED,27 Dec 1934,104 min,"Comedy, Drama",Frank Capra,1 nomination.,6.8,N/A,Broadway Bill (1934)
Ringu,1998,UNRATED,31 Jan 1998,96 min,"Horror, Mystery",Hideo Nakata,6 wins & 1 nomination.,7.3,N/A,Ringu (1998)
Rio Bravo,1959,NOT RATED,04 Apr 1959,141 min,"Action, Drama, Western",Howard Hawks,Won 1 Golden Globe. Another 1 win & 4 nominations.,8.0,N/A,Rio Bravo (1959)
Rio Rita,1929,APPROVED,15 Sep 1929,140 min,"Musical, Romance, Western",Luther Reed,N/A,7.8,N/A,Rio Rita (1929)
Robin Hood,1922,N/A,18 Oct 1922,143 min,"Adventure, Family, Romance",Allan Dwan,1 win.,7.6,N/A,Robin Hood (1922)
RoboCop,1987,R,17 Jul 1987,102 min,"Action, Crime, Sci-Fi",Paul Verhoeven,Nominated for 2 Oscars. Another 11 wins & 10 nominations.,7.5,N/A,RoboCop (1987)
The Miracle of Morgan's Creek,1944,UNRATED,01 Feb 1944,98 min,"Comedy, Romance, War",Preston Sturges,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,7.9,N/A,The Miracle of Morgan's Creek (1944)
Rollerball,1975,R,25 Jun 1975,125 min,"Action, Sci-Fi, Sport",Norman Jewison,Won 1 BAFTA Film Award. Another 3 wins & 5 nominations.,6.6,N/A,Rollerball (1975)
The Roman Spring of Mrs. Stone,1961,APPROVED,28 Dec 1961,103 min,"Drama, Romance",José Quintero,Nominated for 1 Oscar. Another 1 nomination.,6.6,N/A,The Roman Spring of Mrs. Stone (1961)
Runaway Daughters,1956,APPROVED,01 Nov 1956,92 min,"Crime, Drama",Edward L. Cahn,N/A,4.9,N/A,Runaway Daughters (1956)
One Hundred Men and a Girl,1937,APPROVED,05 Sep 1937,84 min,"Comedy, Music",Henry Koster,Won 1 Oscar. Another 4 nominations.,6.9,N/A,One Hundred Men and a Girl (1937)
Sabrina,1954,UNRATED,15 Oct 1954,113 min,"Comedy, Drama, Romance",Billy Wilder,Won 1 Oscar. Another 5 wins & 8 nominations.,7.7,N/A,Sabrina (1954)
Sahara,1943,APPROVED,11 Nov 1943,97 min,"Action, Drama, War",Zoltan Korda,N/A,7.6,N/A,Sahara (1943)
Satan's School for Girls,1973,NOT RATED,19 Sep 1973,78 min,"Crime, Horror, Mystery",David Lowell Rich,N/A,5.2,N/A,Satan's School for Girls (1973)
Saturday's Children,1929,N/A,24 Feb 1930,90 min,"Comedy, Romance",Gregory La Cava,N/A,N/A,N/A,Saturday's Children (1929)
The Ghost Breakers,1940,PASSED,21 Jun 1940,85 min,"Comedy, Horror, Mystery",George Marshall,N/A,7.3,N/A,The Ghost Breakers (1940)
