remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
Korei (2000) dir Kiyoshi Kurosawa,2000,S’©ance on a Wet Afternoon (1964) dir. Bryan Forbes,1964,36,Korei (2000) dir Kiyoshi Kurosawa (2000),Korei ,Korei (2000),S’©ance on a Wet Afternoon ,S’©ance on a Wet Afternoon (1964)
The Ladykillers (2004) dir. Coen brothers,2004,The Ladykillers (1955) dir. Alexander Mackendrick,1955,49,The Ladykillers (2004) dir. Coen brothers (2004),The Ladykillers ,The Ladykillers (2004),The Ladykillers ,The Ladykillers (1955)
The Lady Vanishes (1979) dir. Anthony Page,1979,The Lady Vanishes (1938) dir. Alfred Hitchcock,1938,41,The Lady Vanishes (1979) dir. Anthony Page (1979),The Lady Vanishes ,The Lady Vanishes (1979),The Lady Vanishes ,The Lady Vanishes (1938)
The Land That Time Forgot (2009) dir. C. Thomas Howell,2009,"The Land That Time Forgot (1975) dir. Kevin ConnorBased on the 1918 novel of the same name by Edgar Rice Burroughs",1975,34,The Land That Time Forgot (2009) dir. C. Thomas Howell (2009),The Land That Time Forgot ,The Land That Time Forgot (2009),The Land That Time Forgot ,The Land That Time Forgot (1975)
The Lake House (2006) dir. Alejandro Agresti,2006,Il Mare (2000) dir. Lee Hyun-seung,2000,6,The Lake House (2006) dir. Alejandro Agresti (2006),The Lake House ,The Lake House (2006),Il Mare ,Il Mare (2000)
Last Holiday (2006) dir. Wayne Wang,2006,Last Holiday (1950) dir. Henry Cass,1950,56,Last Holiday (2006) dir. Wayne Wang (2006),Last Holiday ,Last Holiday (2006),Last Holiday ,Last Holiday (1950)
The Last House on the Left (1972) dir. Wes Craven,1972,The Virgin Spring (1960) dir. Ingmar Bergman,1960,12,The Last House on the Left (1972) dir. Wes Craven (1972),The Last House on the Left ,The Last House on the Left (1972),The Virgin Spring ,The Virgin Spring (1960)
The Last House on the Left (2009) dir. Dennis Iliadis,2009,The Virgin Spring (1960) dir. Ingmar Bergman,1960,49,The Last House on the Left (2009) dir. Dennis Iliadis (2009),The Last House on the Left ,The Last House on the Left (2009),The Virgin Spring ,The Virgin Spring (1960)
The Last Kiss (2006) dir. Tony Goldwyn,2006,L'ultimo bacio (2001),2001,5,The Last Kiss (2006) dir. Tony Goldwyn (2006),The Last Kiss ,The Last Kiss (2006),L'ultimo bacio ,L'ultimo bacio (2001)
Last Man Standing (1996) dir. Walter Hill,1996,Yojimbo (1961) dir. Akira Kurosawa,1961,35,Last Man Standing (1996) dir. Walter Hill (1996),Last Man Standing ,Last Man Standing (1996),Yojimbo ,Yojimbo (1961)
The Last of Mrs. Cheyney (1937) dir. Richard Boleslawski and Dorothy Arzner,1937,The Last of Mrs. Cheyney (1929) dir. Sidney Franklin,1929,8,The Last of Mrs. Cheyney (1937) dir. Richard Boleslawski and Dorothy Arzner (1937),The Last of Mrs. Cheyney ,The Last of Mrs. Cheyney (1937),The Last of Mrs. Cheyney ,The Last of Mrs. Cheyney (1929)
Laughing Gravy (1931) dir. James W. Horne,1931,Angora Love (1929) dir. Lewis R. Foster,1929,2,Laughing Gravy (1931) dir. James W. Horne (1931),Laughing Gravy ,Laughing Gravy (1931),Angora Love ,Angora Love (1929)
Let Me In (2010) dir. Matt Reeves,2010,"Let The Right One In (2008) dir. Tomas AlfredsonBased on the 2004 novel Let the Right One In by John Ajvide Lindqvist",2008,2,Let Me In (2010) dir. Matt Reeves (2010),Let Me In ,Let Me In (2010),Let The Right One In ,Let The Right One In (2008)
Easy to Wed (1946) dir. Edward Buzzell,1946,Libeled Lady (1936) dir. Jack Conway,1936,10,Easy to Wed (1946) dir. Edward Buzzell (1946),Easy to Wed ,Easy to Wed (1946),Libeled Lady ,Libeled Lady (1936)
Lifepod (1993) dir. Ron Silver,1993,Lifeboat (1944) dir. Alfred Hitchcock,1944,49,Lifepod (1993) dir. Ron Silver (1993),Lifepod ,Lifepod (1993),Lifeboat ,Lifeboat (1944)
The Little Foxes (1956) dir. George Schaefer,1956,The Little Foxes (1941) dir. William Wyler,1941,15,The Little Foxes (1956) dir. George Schaefer (1956),The Little Foxes ,The Little Foxes (1956),The Little Foxes ,The Little Foxes (1941)
Little Fugitive (2006) dir. Joanna Lipper,2006,Little Fugitive (1953) dir. Ray Ashley,1953,53,Little Fugitive (2006) dir. Joanna Lipper (2006),Little Fugitive ,Little Fugitive (2006),Little Fugitive ,Little Fugitive (1953)
Sorrowful Jones (1949) dir. Sidney Lanfield,1949,"Little Miss Marker (1934) dir. Alexander HallBased on a short story by Damon Runyon",1934,15,Sorrowful Jones (1949) dir. Sidney Lanfield (1949),Sorrowful Jones ,Sorrowful Jones (1949),Little Miss Marker ,Little Miss Marker (1934)
Little Miss Marker (1980) dir. Walter Bernstein,1980,"Little Miss Marker (1934) dir. Alexander HallBased on a short story by Damon Runyon",1934,46,Little Miss Marker (1980) dir. Walter Bernstein (1980),Little Miss Marker ,Little Miss Marker (1980),Little Miss Marker ,Little Miss Marker (1934)
Little Shop of Horrors (1986) dir. Frank Oz,1986,Little Shop of Horrors (1960) dir. Roger Corman,1960,26,Little Shop of Horrors (1986) dir. Frank Oz (1986),Little Shop of Horrors ,Little Shop of Horrors (1986),Little Shop of Horrors ,Little Shop of Horrors (1960)
The Lodger (2009) dir. David Ondaatje,2009,The Lodger (1927) dir. Alfred Hitchcock,1927,82,The Lodger (2009) dir. David Ondaatje (2009),The Lodger ,The Lodger (2009),The Lodger ,The Lodger (1927)
Man in the Attic (1953) dir. Hugo Fregonese,1953,The Lodger (1927) dir. Alfred Hitchcock,1927,26,Man in the Attic (1953) dir. Hugo Fregonese (1953),Man in the Attic ,Man in the Attic (1953),The Lodger ,The Lodger (1927)
The Lodger (1944) dir. John Brahm,1944,The Lodger (1927) dir. Alfred Hitchcock,1927,17,The Lodger (1944) dir. John Brahm (1944),The Lodger ,The Lodger (1944),The Lodger ,The Lodger (1927)
The Lodger (1932) dir. Maurice Elvey,1932,The Lodger (1927) dir. Alfred Hitchcock,1927,5,The Lodger (1932) dir. Maurice Elvey (1932),The Lodger ,The Lodger (1932),The Lodger ,The Lodger (1927)
Loft (2010) dir. Antoinette Beumer,2010,Loft (2008) dir. Erik Van Looy,2008,2,Loft (2010) dir. Antoinette Beumer (2010),Loft ,Loft (2010),Loft ,Loft (2008)
The Loft (2014) dir. Erik Van Looy,2014,Loft (2008) dir. Erik Van Looy,2008,6,The Loft (2014) dir. Erik Van Looy (2014),The Loft ,The Loft (2014),Loft ,Loft (2008)
LOL (2012) dir. Lisa Azuelos,2012,LOL (Laughing Out Loud) (2008) dir. Lisa Azuelos,2008,4,LOL (2012) dir. Lisa Azuelos (2012),LOL ,LOL (2012),LOL ,LOL (2008)
Mean Machine (2001) dir. Barry Skolnick,2001,The Longest Yard (1974) dir. Robert Aldrich,1974,27,Mean Machine (2001) dir. Barry Skolnick (2001),Mean Machine ,Mean Machine (2001),The Longest Yard ,The Longest Yard (1974)
The Longest Yard (2005) dir. Peter Segal,2005,The Longest Yard (1974) dir. Robert Aldrich,1974,31,The Longest Yard (2005) dir. Peter Segal (2005),The Longest Yard ,The Longest Yard (2005),The Longest Yard ,The Longest Yard (1974)
Long Fliv the King (1926) dir. Leo McCarey,1926,His Royal Slyness (1920) dir. Hal Roach,1920,6,Long Fliv the King (1926) dir. Leo McCarey (1926),Long Fliv the King ,Long Fliv the King (1926),His Royal Slyness ,His Royal Slyness (1920)
The Long Hot Summer (1985) dir. Stuart Cooper,1985,"The Long, Hot Summer (1958) dir. Martin Ritt",1958,27,The Long Hot Summer (1985) dir. Stuart Cooper (1985),The Long Hot Summer ,The Long Hot Summer (1985),"The Long, Hot Summer ","The Long, Hot Summer (1958)"
The Long Night (1947) dir. Anatole Litvak,1947,Le Jour se l’åve (1939) dir. Marcel Carn’©,1939,8,The Long Night (1947) dir. Anatole Litvak (1947),The Long Night ,The Long Night (1947),Le Jour se l’åve ,Le Jour se l’åve (1939)
Lost Horizon (1973) dir. Charles Jarrott,1973,Lost Horizon (1937) dir. Frank Capra,1937,36,Lost Horizon (1973) dir. Charles Jarrott (1973),Lost Horizon ,Lost Horizon (1973),Lost Horizon ,Lost Horizon (1937)
The Lost Patrol (1934) dir. John Ford,1934,Lost Patrol (1929) dir. Walter Summers,1929,5,The Lost Patrol (1934) dir. John Ford (1934),The Lost Patrol ,The Lost Patrol (1934),Lost Patrol ,Lost Patrol (1929)
An Affair to Remember (1957) dir. Leo McCarey,1957,Love Affair (1939) dir. Leo McCarey,1939,18,An Affair to Remember (1957) dir. Leo McCarey (1957),An Affair to Remember ,An Affair to Remember (1957),Love Affair ,Love Affair (1939)
Love Affair (1994) dir. Glenn Gordon Caron,1994,Love Affair (1939) dir. Leo McCarey,1939,55,Love Affair (1994) dir. Glenn Gordon Caron (1994),Love Affair ,Love Affair (1994),Love Affair ,Love Affair (1939)
Love Don't Cost a Thing (2003) dir. Troy Beyer,2003,Can¥Ë_—Èt Buy Me Love (1987) dir. Steve Rash,1987,16,Love Don't Cost a Thing (2003) dir. Troy Beyer (2003),Love Don't Cost a Thing ,Love Don't Cost a Thing (2003),Can¥Ë_—Èt Buy Me Love ,Can¥Ë_—Èt Buy Me Love (1987)
Lure of the Wilderness (1952) dir. Jean Negulesco,1952,Swamp Water (1941) dir. Jean Renoir,1941,11,Lure of the Wilderness (1952) dir. Jean Negulesco (1952),Lure of the Wilderness ,Lure of the Wilderness (1952),Swamp Water ,Swamp Water (1941)
M (1951) dir. Joseph Losey,1951,M (1931) dir. Fritz Lang,1931,20,M (1951) dir. Joseph Losey (1951),M ,M (1951),M ,M (1931)
M¥Ë__dchen in Uniform (1958) dir. G’©za von Radv¥Ë_¥Ë_nyi,1958,M¥Ë__dchen in Uniform (1931) dir. Leontine Sagan,1931,27,M¥Ë__dchen in Uniform (1958) dir. G’©za von Radv¥Ë_¥Ë_nyi (1958),M¥Ë__dchen in Uniform ,M¥Ë__dchen in Uniform (1958),M¥Ë__dchen in Uniform ,M¥Ë__dchen in Uniform (1931)
The Magnificent Ambersons (1942) dir. Orson Welles,1942,Pampered Youth (1925) dir. David Smith,1925,17,The Magnificent Ambersons (1942) dir. Orson Welles (1942),The Magnificent Ambersons ,The Magnificent Ambersons (1942),Pampered Youth ,Pampered Youth (1925)
The Magnificent Ambersons (2002) dir. Alfonso Arau,2002,Pampered Youth (1925) dir. David Smith,1925,77,The Magnificent Ambersons (2002) dir. Alfonso Arau (2002),The Magnificent Ambersons ,The Magnificent Ambersons (2002),Pampered Youth ,Pampered Youth (1925)
The Magnificent Seven (1960) dir. John Sturges,1960,Seven Samurai (1954) dir. Akira Kurosawa,1954,6,The Magnificent Seven (1960) dir. John Sturges (1960),The Magnificent Seven ,The Magnificent Seven (1960),Seven Samurai ,Seven Samurai (1954)
Main Aisa Hi Hoon (2005) dir. Harry Baweja,2005,I Am Sam (2001) dir. Jessie Nelson,2001,4,Main Aisa Hi Hoon (2005) dir. Harry Baweja (2005),Main Aisa Hi Hoon ,Main Aisa Hi Hoon (2005),I Am Sam ,I Am Sam (2001)
Major Payne (1995) dir. Nick Castle,1995,The Private War of Major Benson (1955) dir. Jerry Hopper,1955,40,Major Payne (1995) dir. Nick Castle (1995),Major Payne ,Major Payne (1995),The Private War of Major Benson ,The Private War of Major Benson (1955)
Satan Met a Lady (1936) dir. William Dieterle,1936,The Maltese Falcon (1931) dir. Roy Del Ruth,1931,5,Satan Met a Lady (1936) dir. William Dieterle (1936),Satan Met a Lady ,Satan Met a Lady (1936),The Maltese Falcon ,The Maltese Falcon (1931)
The Maltese Falcon (1941) dir. John Huston,1941,The Maltese Falcon (1931) dir. Roy Del Ruth,1931,10,The Maltese Falcon (1941) dir. John Huston (1941),The Maltese Falcon ,The Maltese Falcon (1941),The Maltese Falcon ,The Maltese Falcon (1931)
The Man They Could Not Hang (1939) dir. Nick Grinde,1939,The Walking Dead (1936) dir. Michael Curtiz,1936,3,The Man They Could Not Hang (1939) dir. Nick Grinde (1939),The Man They Could Not Hang ,The Man They Could Not Hang (1939),The Walking Dead ,The Walking Dead (1936)
The Man with One Red Shoe (1985) dir. Stan Dragoti,1985,Le Grand Blond avec une chaussure noire (1972) dir. Yves Robert,1972,13,The Man with One Red Shoe (1985) dir. Stan Dragoti (1985),The Man with One Red Shoe ,The Man with One Red Shoe (1985),Le Grand Blond avec une chaussure noire ,Le Grand Blond avec une chaussure noire (1972)
The Man Without a Country (1937) dir. Crane Wilbur,1937,The Man Without a Country (1917) dir. Ernest C. Warde,1917,20,The Man Without a Country (1937) dir. Crane Wilbur (1937),The Man Without a Country ,The Man Without a Country (1937),The Man Without a Country ,The Man Without a Country (1917)
The Man Who Knew Too Much (1956) dir. Alfred Hitchcock,1956,The Man Who Knew Too Much (1934) dir. Alfred Hitchcock,1934,22,The Man Who Knew Too Much (1956) dir. Alfred Hitchcock (1956),The Man Who Knew Too Much ,The Man Who Knew Too Much (1956),The Man Who Knew Too Much ,The Man Who Knew Too Much (1934)
The Man Who Loved Women (1983) dir. Blake Edwards,1983,The Man Who Loved Women (1977) dir. Fran’_ois Truffaut,1977,6,The Man Who Loved Women (1983) dir. Blake Edwards (1983),The Man Who Loved Women ,The Man Who Loved Women (1983),The Man Who Loved Women ,The Man Who Loved Women (1977)
The Manchurian Candidate (2004) dir. Jonathan Demme,2004,The Manchurian Candidate (1962) dir. John Frankenheimer,1962,42,The Manchurian Candidate (2004) dir. Jonathan Demme (2004),The Manchurian Candidate ,The Manchurian Candidate (2004),The Manchurian Candidate ,The Manchurian Candidate (1962)
Apthamitra (2004) dir. P. Vasu,2004,Manichitrathazhu (1993) dir. Fazil,1993,11,Apthamitra (2004) dir. P. Vasu (2004),Apthamitra ,Apthamitra (2004),Manichitrathazhu ,Manichitrathazhu (1993)
Chandramukhi (2005) dir. P. Vasu,2005,Manichitrathazhu (1993) dir. Fazil,1993,12,Chandramukhi (2005) dir. P. Vasu (2005),Chandramukhi ,Chandramukhi (2005),Manichitrathazhu ,Manichitrathazhu (1993)
Rajmohol (2005) dir. Sapan Saha,2005,Manichitrathazhu (1993) dir. Fazil,1993,12,Rajmohol (2005) dir. Sapan Saha (2005),Rajmohol ,Rajmohol (2005),Manichitrathazhu ,Manichitrathazhu (1993)
Bhool Bhulaiyaa (2007) dir. Priyadarshan,2007,Manichitrathazhu (1993) dir. Fazil,1993,14,Bhool Bhulaiyaa (2007) dir. Priyadarshan (2007),Bhool Bhulaiyaa ,Bhool Bhulaiyaa (2007),Manichitrathazhu ,Manichitrathazhu (1993)
Marcellino (1991) dir. Luigi Comencini,1991,Marcelino Pan y Vino (1955) dir. Ladislao Vajda,1955,36,Marcellino (1991) dir. Luigi Comencini (1991),Marcellino ,Marcellino (1991),Marcelino Pan y Vino ,Marcelino Pan y Vino (1955)
"Marcelino Pan y Vino (1979, made-for-TV) dir. Mario O'Hara",1979,Marcelino Pan y Vino (1955) dir. Ladislao Vajda,1955,24,"Marcelino Pan y Vino (1979, made-for-TV) dir. Mario O'Hara (1979)",Marcelino Pan y Vino ,Marcelino Pan y Vino (1979),Marcelino Pan y Vino ,Marcelino Pan y Vino (1955)
Le Mari r’év’©¥Ë_¥Ë_(fr) (1936) dir. Roger Capellani,1936,Life Is a Dog (1933) dir. Martin Fri¥Ë_¥Ë_,1933,3,Le Mari r’év’©¥Ë_¥Ë_(fr) (1936) dir. Roger Capellani (1936),Le Mari r’év’©¥Ë_¥Ë_,Le Mari r’év’©¥Ë_¥Ë_ (1936),Life Is a Dog ,Life Is a Dog (1933)
Marilyn Hotchkiss' Ballroom Dancing and Charm School (2005) dir. Randall Miller,2005,Marilyn Hotchkiss' Ballroom Dancing and Charm School (1990),1990,15,Marilyn Hotchkiss' Ballroom Dancing and Charm School (2005) dir. Randall Miller (2005),Marilyn Hotchkiss' Ballroom Dancing and Charm School ,Marilyn Hotchkiss' Ballroom Dancing and Charm School (2005),Marilyn Hotchkiss' Ballroom Dancing and Charm School ,Marilyn Hotchkiss' Ballroom Dancing and Charm School (1990)
Mark of the Vampire (1935) dir. Tod Browning,1935,London After Midnight (1927) dir. Tod Browning,1927,8,Mark of the Vampire (1935) dir. Tod Browning (1935),Mark of the Vampire ,Mark of the Vampire (1935),London After Midnight ,London After Midnight (1927)
Marked Men (1919) dir. John Ford,1919,The Three Godfathers (1916) dir. Edward LeSaint,1916,3,Marked Men (1919) dir. John Ford (1919),Marked Men ,Marked Men (1919),The Three Godfathers ,The Three Godfathers (1916)
Martyrs (2015) dir. Kevin and Michael Goetz,2015,Martyrs (2008) dir. Pascal Laugier,2008,7,Martyrs (2015) dir. Kevin and Michael Goetz (2015),Martyrs ,Martyrs (2015),Martyrs ,Martyrs (2008)
The Mask of Fu Manchu (1932) dir. Charles Brabin,1932,The Mysterious Dr. Fu Manchu (1929) dir. Rowland V. Lee,1929,3,The Mask of Fu Manchu (1932) dir. Charles Brabin (1932),The Mask of Fu Manchu ,The Mask of Fu Manchu (1932),The Mysterious Dr. Fu Manchu ,The Mysterious Dr. Fu Manchu (1929)
Masquerade in Mexico (1945) dir. Mitchell Leisen,1945,Midnight (1939) dir. Mitchell Leisen,1939,6,Masquerade in Mexico (1945) dir. Mitchell Leisen (1945),Masquerade in Mexico ,Masquerade in Mexico (1945),Midnight ,Midnight (1939)
The Mechanic (2011) dir. Simon West,2011,The Mechanic (1972) dir. Michael Winner,1972,39,The Mechanic (2011) dir. Simon West (2011),The Mechanic ,The Mechanic (2011),The Mechanic ,The Mechanic (1972)
Meet Joe Black (1998) dir. Martin Brest,1998,"Death Takes a Holiday (1934) dir. Mitchell LeisenBased on the play by Alberto Casella",1934,64,Meet Joe Black (1998) dir. Martin Brest (1998),Meet Joe Black ,Meet Joe Black (1998),Death Takes a Holiday ,Death Takes a Holiday (1934)
Meet Me in St. Louis (1959) dir. George Schaefer,1959,Meet Me in St. Louis (1944) dir. Vincente Minnelli,1944,15,Meet Me in St. Louis (1959) dir. George Schaefer (1959),Meet Me in St. Louis ,Meet Me in St. Louis (1959),Meet Me in St. Louis ,Meet Me in St. Louis (1944)
Meet Me in St. Louis (1966) dir. Alan D. Courtney,1966,Meet Me in St. Louis (1944) dir. Vincente Minnelli,1944,22,Meet Me in St. Louis (1966) dir. Alan D. Courtney (1966),Meet Me in St. Louis ,Meet Me in St. Louis (1966),Meet Me in St. Louis ,Meet Me in St. Louis (1944)
Men Don't Leave (1990) dir. Paul Brickman,1990,La vie continue (1981) dir. Mosh’© Mizrahi,1981,9,Men Don't Leave (1990) dir. Paul Brickman (1990),Men Don't Leave ,Men Don't Leave (1990),La vie continue ,La vie continue (1981)
It Happened One Christmas (1977) dir. Donald Wrye,1977,It's a Wonderful Life (1946) dir. Frank Capra,1946,31,It Happened One Christmas (1977) dir. Donald Wrye (1977),It Happened One Christmas ,It Happened One Christmas (1977),It's a Wonderful Life ,It's a Wonderful Life (1946)
Merry Christmas George Bailey (1997) dir. Matthew Diamond,1997,It's a Wonderful Life (1946) dir. Frank Capra,1946,51,Merry Christmas George Bailey (1997) dir. Matthew Diamond (1997),Merry Christmas George Bailey ,Merry Christmas George Bailey (1997),It's a Wonderful Life ,It's a Wonderful Life (1946)
Messenger (1994) dir. Norman Loftis,1994,Bicycle Thieves (1948) dir. Vittorio De Sica,1948,46,Messenger (1994) dir. Norman Loftis (1994),Messenger ,Messenger (1994),Bicycle Thieves ,Bicycle Thieves (1948)
Mighty Joe Young (1998) dir. Ron Underwood,1998,Mighty Joe Young (1949) dir. Ernest B. Schoedsack,1949,49,Mighty Joe Young (1998) dir. Ron Underwood (1998),Mighty Joe Young ,Mighty Joe Young (1998),Mighty Joe Young ,Mighty Joe Young (1949)
Miracle on 34th Street (1973) dir. Fielder CookThe Miracle on 34th Street (1955) dir. Robert Stevenson,1973,Miracle on 34th Street (1947) dir. George Seaton,1947,26,Miracle on 34th Street (1973) dir. Fielder CookThe Miracle on 34th Street (1955) dir. Robert Stevenson (1973),Miracle on 34th Street ,Miracle on 34th Street (1973),Miracle on 34th Street ,Miracle on 34th Street (1947)
Miracle on 34th Street (1994) dir. Les Mayfield,1994,Miracle on 34th Street (1947) dir. George Seaton,1947,47,Miracle on 34th Street (1994) dir. Les Mayfield (1994),Miracle on 34th Street ,Miracle on 34th Street (1994),Miracle on 34th Street ,Miracle on 34th Street (1947)
The Miracle Man (1932) dir. Norman Z. McLeod,1932,The Miracle Man (1919) dir. George Loane Tucker,1919,13,The Miracle Man (1932) dir. Norman Z. McLeod (1932),The Miracle Man ,The Miracle Man (1932),The Miracle Man ,The Miracle Man (1919)
The Mirror Has Two Faces (1996) dir. Barbra Streisand,1996,Le Mariage a Deux Faces (1959) dir. Andr’© Cayatte,1959,37,The Mirror Has Two Faces (1996) dir. Barbra Streisand (1996),The Mirror Has Two Faces ,The Mirror Has Two Faces (1996),Le Mariage a Deux Faces ,Le Mariage a Deux Faces (1959)
Mirrors (2008) dir. Alexandre AjaMirrors 2 (2010) dir. V¥Ë__ctor Garc¥Ë__a,2008,Into the Mirror (2003) dir. Sung-ho Kim,2003,5,Mirrors (2008) dir. Alexandre AjaMirrors 2 (2010) dir. V¥Ë__ctor Garc¥Ë__a (2008),Mirrors ,Mirrors (2008),Into the Mirror ,Into the Mirror (2003)
20 Once Again (2015) dir. Leste Chen,2015,Miss Granny (2014) dir. Hwang Dong-hyuk,2014,1,20 Once Again (2015) dir. Leste Chen (2015),20 Once Again ,20 Once Again (2015),Miss Granny ,Miss Granny (2014)
Missile to the Moon (1958) dir. Richard E. Cunha,1958,Cat-Women of the Moon (1953) dir. Arthur Hilton,1953,5,Missile to the Moon (1958) dir. Richard E. Cunha (1958),Missile to the Moon ,Missile to the Moon (1958),Cat-Women of the Moon ,Cat-Women of the Moon (1953)
Mixed Nuts (1994) dir. Nora Ephron,1994,Le P’åre No¥Ë_¥Ë_l est une ordure (1982) dir. Jean-Marie Poir’©,1982,12,Mixed Nuts (1994) dir. Nora Ephron (1994),Mixed Nuts ,Mixed Nuts (1994),Le P’åre No¥Ë_¥Ë_l est une ordure ,Le P’åre No¥Ë_¥Ë_l est une ordure (1982)
Mogambo (1953) dir. John Ford,1953,Red Dust (1932) dir. Victor Fleming,1932,21,Mogambo (1953) dir. John Ford (1953),Mogambo ,Mogambo (1953),Red Dust ,Red Dust (1932)
The Money Pit (1986) dir. Richard Benjamin,1986,Mr. Blandings Builds His Dream House (1948) dir. H. C. Potter,1948,38,The Money Pit (1986) dir. Richard Benjamin (1986),The Money Pit ,The Money Pit (1986),Mr. Blandings Builds His Dream House ,Mr. Blandings Builds His Dream House (1948)
The Monkey's Paw (1948) dir. Norman Lee,1948,The Monkey's Paw (1933) dir. Ernest B. Schoedsack,1933,15,The Monkey's Paw (1948) dir. Norman Lee (1948),The Monkey's Paw ,The Monkey's Paw (1948),The Monkey's Paw ,The Monkey's Paw (1933)
The Monster and the Girl (1941) dir. Stuart Heisler,1941,Go and Get It (1920) dir. Marshall Neilan,1920,21,The Monster and the Girl (1941) dir. Stuart Heisler (1941),The Monster and the Girl ,The Monster and the Girl (1941),Go and Get It ,Go and Get It (1920)
Moon Over Parador (1988) dir. Paul Mazursky,1988,The Magnificent Fraud (1939) dir. Robert Florey,1939,49,Moon Over Parador (1988) dir. Paul Mazursky (1988),Moon Over Parador ,Moon Over Parador (1988),The Magnificent Fraud ,The Magnificent Fraud (1939)
Mother's Day (2010) dir. Darren Lynn Bousman,2010,Mother's Day (1980) dir. Charles Kaufman,1980,30,Mother's Day (2010) dir. Darren Lynn Bousman (2010),Mother's Day ,Mother's Day (2010),Mother's Day ,Mother's Day (1980)
Something's Got to Give (unfinished) (1962) dir. George Cukor,1962,My Favorite Wife (1940) dir. Garson Kanin,1940,22,Something's Got to Give (unfinished) (1962) dir. George Cukor (1962),Something's Got to Give ,Something's Got to Give (1962),My Favorite Wife ,My Favorite Wife (1940)
"Move Over, Darling (1963) dir. Michael Gordon",1963,My Favorite Wife (1940) dir. Garson Kanin,1940,23,"Move Over, Darling (1963) dir. Michael Gordon (1963)","Move Over, Darling ","Move Over, Darling (1963)",My Favorite Wife ,My Favorite Wife (1940)
Mr. Deeds (2002) dir. Steven Brill,2002,Mr. Deeds Goes to Town (1936) dir. Frank Capra,1936,66,Mr. Deeds (2002) dir. Steven Brill (2002),Mr. Deeds ,Mr. Deeds (2002),Mr. Deeds Goes to Town ,Mr. Deeds Goes to Town (1936)
The Mummy (1999) dir. Stephen Sommers,1999,The Mummy (1932) dir. Karl Freund,1932,67,The Mummy (1999) dir. Stephen Sommers (1999),The Mummy ,The Mummy (1999),The Mummy ,The Mummy (1932)
Vasool Raja MBBS (2006) dir. Saran,2006,Munna Bhai M.B.B.S. (2003) dir. Rajkumar Hirani,2003,3,Vasool Raja MBBS (2006) dir. Saran (2006),Vasool Raja MBBS ,Vasool Raja MBBS (2006),Munna Bhai M.B.B.S. ,Munna Bhai M.B.B.S. (2003)
Shankar Dada MBBS (2004) dir. Jayanth C. Paranjee,2004,Munna Bhai M.B.B.S. (2003) dir. Rajkumar Hirani,2003,1,Shankar Dada MBBS (2004) dir. Jayanth C. Paranjee (2004),Shankar Dada MBBS ,Shankar Dada MBBS (2004),Munna Bhai M.B.B.S. ,Munna Bhai M.B.B.S. (2003)
Uppi Dada M.B.B.S. (2006) dir. D. Rajendra Babu,2006,Munna Bhai M.B.B.S. (2003) dir. Rajkumar Hirani,2003,3,Uppi Dada M.B.B.S. (2006) dir. D. Rajendra Babu (2006),Uppi Dada M.B.B.S. ,Uppi Dada M.B.B.S. (2006),Munna Bhai M.B.B.S. ,Munna Bhai M.B.B.S. (2003)
My Bloody Valentine 3D (2009) dir. Patrick Lussier,2009,My Bloody Valentine (1981) dir. George Mihalka,1981,28,My Bloody Valentine 3D (2009) dir. Patrick Lussier (2009),My Bloody Valentine 3D ,My Bloody Valentine 3D (2009),My Bloody Valentine ,My Bloody Valentine (1981)
My Father the Hero (1994) dir. Steve Miner,1994,"Mon p’åre, ce h’©ros (1991) dir. G’©rard Lauzier",1991,3,My Father the Hero (1994) dir. Steve Miner (1994),My Father the Hero ,My Father the Hero (1994),"Mon p’åre, ce h’©ros ","Mon p’åre, ce h’©ros (1991)"
My Man Godfrey (1957) dir. Henry Koster,1957,My Man Godfrey (1936) dir. Gregory La Cava,1936,21,My Man Godfrey (1957) dir. Henry Koster (1957),My Man Godfrey ,My Man Godfrey (1957),My Man Godfrey ,My Man Godfrey (1936)
My Fair Lady (1964) dir. George Cukor,1964,Pygmalion (1938) dir. Anthony Asquith and Leslie Howard,1938,26,My Fair Lady (1964) dir. George Cukor (1964),My Fair Lady ,My Fair Lady (1964),Pygmalion ,Pygmalion (1938)
My Sassy Girl (2008) dir. Yann Samuell,2008,Yeopgijeogin geunyeo (2001) dir. Jae-young Kwak,2001,7,My Sassy Girl (2008) dir. Yann Samuell (2008),My Sassy Girl ,My Sassy Girl (2008),Yeopgijeogin geunyeo ,Yeopgijeogin geunyeo (2001)
Naa Autograph (2004) dir. S. Gopal Reddy,2004,Autograph (2004) dir. Cheran,2004,0,Naa Autograph (2004) dir. S. Gopal Reddy (2004),Naa Autograph ,Naa Autograph (2004),Autograph ,Autograph (2004)
Naina (2005) dir. Shripal Morakhia,2005,The Eye (2002) dir. Oxide Pang,2002,3,Naina (2005) dir. Shripal Morakhia (2005),Naina ,Naina (2005),The Eye ,The Eye (2002)
Narrow Margin (1990) dir. Peter Hyams,1990,The Narrow Margin (1952) dir. Richard Fleischer,1952,38,Narrow Margin (1990) dir. Peter Hyams (1990),Narrow Margin ,Narrow Margin (1990),The Narrow Margin ,The Narrow Margin (1952)
